Model,TP_Rate_Tache3,FP_Rate_Tache3,F1-score_Tache3,AUC_Tache3,TP_Rate_Tache4,FP_Rate_Tache4,F1-score_Tache4,AUC_Tache4
NaiveBayes,0.7100112485939257,0.2220492866407263,0.7463639588506562,0.8107910635684159,0.33,0.0,0.4962406015037593,0.774715
GradientBoosting,0.9766029246344208,0.032166018158236,0.9744107744107744,0.9979234307773786,0.84,0.002,0.8936170212765957,0.996445
RandomForest,0.9887514060742408,0.0163424124513618,0.9873076491070426,0.9989944836661954,0.85,0.001,0.9090909090909092,0.9976775
AdaBoost,0.978177727784027,0.0207522697795071,0.9800518426687704,0.99796115952432,0.87,0.0035,0.8969072164948454,0.9983625
DecisionTree,0.9777277840269968,0.0272373540856031,0.977068345323741,0.9752452149706968,0.85,0.0105,0.8252427184466019,0.91975
Bagging,0.9907761529808774,0.0134889753566796,0.989551735760027,0.9977252746130468,0.82,0.0025,0.8770053475935828,0.972275
